Cadence (Burst),JD_UTC,av_rel_flux T1,av_rel_flux C2,av_rel_flux C3,av_rel_flux C4,av_rel_flux C5,std_T1,std_C2,std_C3,std_C4,std_C5,CoV T1,CoV C2,CoV C3,CoV C4,CoV C5
9-1,2458634.522,0.4566277,0.2333386,0.3398229,0.3264391,0.4515463,0.00247104638,0.0008866175275,0.002142073502,0.002113717316,0.002726430782,0.54115,0.37997,0.63035,0.64751,0.60380
1-2,2458577.078,0.4501705,0.2289306,0.3396054,0.3351943,0.4475391,0.002005501546,0.001621997053,0.002960049973,0.003195581607,0.003580340471,0.44550,0.70851,0.87161,0.95335,0.80001
1-3,2458578.134,0.4506828889,0.2286796667,0.3407864444,0.3311978889,0.4512314444,0.003543361287,0.001859158292,0.002192800447,0.002972864703,0.004438333699,0.78622,0.81300,0.64345,0.89761,0.98360
1-4,2458579.073,0.4433313,0.2274007,0.3410379,0.3372357,0.445611,0.00205184527,0.001855260523,0.00435693547,0.002737955809,0.004142450362,0.46282,0.81586,1.27755,0.81188,0.92961
1-5,2458580.129,0.455698,0.2303861,0.3378929,0.3315279,0.4518407,0.001656443117,0.00119011415,0.001390558122,0.002025136709,0.002492603861,0.36350,0.51657,0.41154,0.61085,0.55166
1-6,2458582.084,0.4447417778,0.2291497778,0.3435074444,0.331258,0.4473133333,0.001668052009,0.0006772791609,0.001481131333,0.002146197827,0.002117397354,0.37506,0.29556,0.43118,0.64789,0.47336
1-7,2458583.062,0.4684017143,0.2276467143,0.3390188571,0.3367034286,0.4482255714,0.002702154152,0.0009092112303,0.002670777384,0.001979674855,0.003198066686,0.57689,0.39940,0.78780,0.58796,0.71349
2-1,2458588.105,0.4581637,0.2281475,0.3379591,0.3316045,0.4547982,0.00137564756,0.001231029021,0.002035690274,0.001133002229,0.001965091642,0.30025,0.53958,0.60235,0.34167,0.43208
2-2,2458589.132,0.4728494,0.2309923,0.3388167,0.3262352,0.4562415,0.00212624642,0.0008921626589,0.001411771656,0.002660368501,0.001972104777,0.44967,0.38623,0.41668,0.81548,0.43225
2-3,2458590.116,0.4503498,0.2308142,0.3397402,0.329479,0.4515122,0.003151019733,0.0008324002403,0.00121510895,0.002205308051,0.002620276276,0.69968,0.36064,0.35766,0.66933,0.58033
2-4,2458591.1,0.4563751,0.2317216,0.3413564,0.3282693,0.4497982,0.00197354151,0.0007887797158,0.002040660932,0.001203310687,0.001656323507,0.43244,0.34040,0.59781,0.36656,0.36824
2-5,2458592.102,0.4673754,0.2280428,0.3389509,0.3312524,0.4541914,0.001700739792,0.0009742084787,0.001475269294,0.001350994019,0.001590704448,0.36389,0.42720,0.43525,0.40784,0.35023
3-3,2458597.031,0.474013,0.2280705,0.3388417,0.3318589,0.4535654,0.002029892312,0.0013677837,0.001809721805,0.00160555638,0.003019914178,0.42824,0.59972,0.53409,0.48381,0.66582
3-4,2458598.02,0.4640732857,0.2273565714,0.3375792857,0.3337467143,0.4538092857,0.002372525039,0.001295746983,0.002473564849,0.001910610053,0.001698974793,0.51124,0.56992,0.73274,0.57247,0.37438
4-2,2458604.945,0.4664117,0.2304972,0.3406323,0.3296343,0.4507164,0.001603675469,0.001048944784,0.001543634934,0.001076561382,0.001330043022,0.34383,0.45508,0.45317,0.32659,0.29510
4-3,2458606.098,0.4694745,0.2285066,0.3383017,0.331155,0.4544214,0.001772562622,0.0007390142353,0.00116360492,0.001359919262,0.001099664603,0.37756,0.32341,0.34395,0.41066,0.24199
5-1,2458607.941,0.4633241,0.2296923,0.3403613,0.3316907,0.44971,0.001023468754,0.0008733435807,0.001455766193,0.001689151624,0.0009750488193,0.22090,0.38022,0.42771,0.50926,0.21682
5-3,2458609.941,0.4554734,0.2285132,0.3421027,0.3305169,0.4507226,0.003128765865,0.001685646214,0.001995422915,0.002303011222,0.003404815625,0.68693,0.73766,0.58328,0.69679,0.75541
